Page,DESCRIPTION,REPL. COST,,,MAX ADDL.
16,Shoes - - Dress,,"3,00 EA",$261.77,$52.36
16,Shoes - Ladies' - Work shoes,,7.00 EA,$379.39,$75.87
16,Shoes - Men's - Boots,,"1,00 EA",$115.18,$23.04
16,Shoes - Men's - Boots,,"1,00 EA",$115.18,$38.40
16,Shoes - Men's - Boots |,,"1,00 EA",$0.00,$0.00
16,Shoes - Men's - Work Crocs,,"3,00 EA",$533.81,$533.81
16,Shoes - Men's - Casual,,2.00 EA,$115.18,$38.40
16,|,,,,
16,Shoes - Men's - Casual,,1.00 EA,$57.59,$38.40
16,Shoes - Men's - Casual,,"1,00 EA",$0.00,$0.00
16,work crocs,,"3,00 EA",$533.81,$480.43
16,Shoes - Men's - Dress,,"3,00 EA",$612.57,$122.51
16,Shoes - Men's - Dress,,"2,00 EA",$165.44,$33.09
16,Note: Slight variances may be found within report sections,due to rounding,,,
17,,,Trade Summary,,
17,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
17,DESCRIPTION,,LINEITEM,"— REPL, COST",ACV
17,,,QTY,TOTAL,
17,CLH CLOTHING & ACCESSORIES,,,,
17,Shoes - Men's - Dress,,"1,00 EA",$82.72,$27.57
17,Shoes - Men's - Dress,,"1,00 EA",$0.00,$0.00
17,men dress shoes,,"3,00 EA",$612.57,$204.19
17,Shoes - Men's - Outdoor,,1.00 BA,$99.48,$19.90
17,Shoes - Men's - Outdoor,,1.00 EA,$99.48,$77.26
17,Shoes - Men's - Outdoor,,"1,00 EA",$0.00,$0.00
17,Shoes - - Sandals,,"3,00 EA",$131.94,$43.98
17,Shoes - Men's - Sandals,,1.00 EA,$43.98,$21.99
17,Shoes - - Sandals,,1.00 EA,$0.00,$0.00
17,Shoes - Men's - Slippers / Slipper socks,,2.00 EA,$209.42,$139.61
17,Shoes - Men's - Slippers / Slipper socks,,"1,00 EA",$31.41,$10.47
17,Shoes - Men's - Slippers / Slipper socks,,1.00 EA,$0.00,$0.00
17,|,,,,
17,mens slippers,,2.00 EA,$104.7,$6931
17,Mens sneakers / tennis,,"2,00 EA",$314.14,$261.78
17,Shoes - Men's - Sneakers / Tennis,,2.00 EA,$314.14,$261.78
17,Shoes - Men's - Sneakers / Tennis,,4.00 EA,$460.73,$153.58
17,Shoes - Men's - Sneakers / Tennis,,1.00 EA,$115.18,$23.04
17,Shoes - Men's - Sneakers / Tennis,,1.00 EA,$0.00,$0.00
17,Shorts -,,20.00 EA,$628.27,$392.67
17,Shorts - Ladies’,,10.00 EA,$314.14,$196.34
17,Note: Slight variances may be found within report sections,due to rounding,,,
17,5154K577),,,,
18,,,Trade Summary,,
18,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
18,DESCRIPTION,,LINEITEM,REPL. COST,ACV
18,,,QTY,TOTAL,
18,CLH CLOTHING & ACCESSORIES,,,,
18,Shorts - Men's,,6.00 EA,$0.00,$0.00
18,Shorts - Men's,,10.00 EA,$272.25,$238.22
18,Shorts - Men's,,1.00 EA,$27.23,$23.83
18,Shorts - Men's,,1.00 EA,$0.00,$0.00
18,men shorts,,6.00 EA,$182.20,$136.65
18,Skirt - Ladies’,,12.00 EA,"$439,79",$357.33
18,Skirt - Ladies’,,5.00 EA,$235.60,$147.24
18,Sleepwear / Pajamas - Ladies',,"3,00 EA",$251.15,$202.60
18,Sleepwear / Pajamas - Ladies' - High grade,,4.00 EA,$205.24,$136.83
18,Sleepwear / Pajamas - Men's,,"3,00 EA",$188.48,$62.83
18,Sleepwear / Pajamas - Men's,,"1,00 EA",$17.80,$3.56
18,Sleepwear / Pajamas - Men's,,1.00 EA,$0.00,$0.00
18,sleepwear! pajamas- mens,,"3,00 EA",$188.48,$62.83
18,Sunglasses,,3.00 EA,$144.50,$108.37
18,Sunglasses,,1.00 EA,$48.17,$30.11
18,Sunglasses,,8.00 EA,"$1,118.32",$698.95
18,Sunglasses,,1.00 EA,$0.00,$0.00
18,Sunglasses - Deluxe grade,,4.00 EA,"$1,319.37",$659.68
18,Socks - 6 pair - Ladies’,,8.00 EA,$295.29,$295.29
18,Socks - 6 - Ladies’,,4.00 EA,$62.83,$41.89
18,Note: Slight variances may be found within report sections,due to rounding,,,
18,5154K577),,,,
19,,Trade Summary,,,
19,Includes all applicable,"Tax, General Contractor","O&P, and Labor",Minimums,
19,DESCRIPTION,,LINEITEM,COST,ACV
19,,,QTY,TOTAL,
19,CLH CLOTHING & ACCESSORIES,,,,
19,Socks - 6 pair - Men's,,7.00 EA,$0.00,$0.00
19,Socks - 6 pair - Men's,,1.00 EA,$13.61,$11.70
19,Socks - 6 pair - Men's,,1.00 EA,$0.00,$0.00
19,men socks Puma,,7.00 EA,$197.83,$39.57
19,Pair of Thieves Men's Hustle Cushion Crew Socks 3pk - Blue 6-12,,3.00 EA,$56.51,$47.09
19,"Scarf, shawl & wrap",,"1,00 EA",$19.90,$9.95
19,"Scarf, shawl & wrap",,1.00 EA,$19.90,$3.98
19,"Scarf, shawl & wrap",,1.00 EA,$0.00,$0.00
